class,variable,value,period,deal,link,pub_date
A-4,PrincipalCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
B,PrincipalCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
C,PrincipalCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
D,PrincipalCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
Deal Totals,PrincipalCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
A-1,InterestCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
A-2,InterestCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
A-3,InterestCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
A-4,InterestCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
B,InterestCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
C,InterestCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
D,InterestCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
Deal Totals,InterestCarryoverShortfall,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
A-1,EndingNotePrincipalBalance,0,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
A-2,EndingNotePrincipalBalance,281515926.93,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
A-3,EndingNotePrincipalBalance,271370000,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
A-4,EndingNotePrincipalBalance,86010000,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
B,EndingNotePrincipalBalance,22220000,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
C,EndingNotePrincipalBalance,18510000,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
D,EndingNotePrincipalBalance,13750000,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
Deal Totals,EndingNotePrincipalBalance,693375926.93,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
all,EndingNumberofReceivables,54135,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
all,EndingAggregateReceivablesPrincipalBalance,707129902.07,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
all,EndingAggregateAmountFinanced,707129902.07,2018-02-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000014/aart2017-3_exx99xfebx2018.htm,2018-03-26T16:38:31Z
A-1,InitialNotePrincipalBalance,270000000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-2,InitialNotePrincipalBalance,371370000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-3,InitialNotePrincipalBalance,271370000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-4,InitialNotePrincipalBalance,86010000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
B,InitialNotePrincipalBalance,22220000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
C,InitialNotePrincipalBalance,18510000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
D,InitialNotePrincipalBalance,13750000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
Deal Totals,InitialNotePrincipalBalance,1053230000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-1,BeginningNotePrincipalBalance,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-2,BeginningNotePrincipalBalance,342839619.35,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-3,BeginningNotePrincipalBalance,271370000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-4,BeginningNotePrincipalBalance,86010000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
B,BeginningNotePrincipalBalance,22220000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
C,BeginningNotePrincipalBalance,18510000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
D,BeginningNotePrincipalBalance,13750000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
Deal Totals,BeginningNotePrincipalBalance,754699619.35,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-1,NoteRate,1.1,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-2,NoteRate,1.53,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-3,NoteRate,1.74,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-4,NoteRate,2.01,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
B,NoteRate,2.24,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
C,NoteRate,2.37,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
D,NoteRate,2.91,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
Deal Totals,NoteRate,,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-1,PrincipalDistribution,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-2,PrincipalDistribution,32371721.78,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-3,PrincipalDistribution,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-4,PrincipalDistribution,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
B,PrincipalDistribution,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
C,PrincipalDistribution,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
D,PrincipalDistribution,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
Deal Totals,PrincipalDistribution,32371721.78,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-1,InterestDistribution,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-2,InterestDistribution,437120.51,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-3,InterestDistribution,393486.5,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-4,InterestDistribution,144066.75,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
B,InterestDistribution,41477.33,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
C,InterestDistribution,36557.25,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
D,InterestDistribution,33343.75,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
Deal Totals,InterestDistribution,1086052.09,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-1,TotalDistribution,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-2,TotalDistribution,32808842.29,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-3,TotalDistribution,393486.5,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-4,TotalDistribution,144066.75,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
B,TotalDistribution,41477.33,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
C,TotalDistribution,36557.25,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
D,TotalDistribution,33343.75,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
Deal Totals,TotalDistribution,33457773.87,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-1,PrincipalCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-2,PrincipalCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-3,PrincipalCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-4,PrincipalCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
B,PrincipalCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
C,PrincipalCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
D,PrincipalCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
Deal Totals,PrincipalCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-1,InterestCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-2,InterestCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-3,InterestCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-4,InterestCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
B,InterestCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
C,InterestCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
D,InterestCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
Deal Totals,InterestCarryoverShortfall,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-1,EndingNotePrincipalBalance,0,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-2,EndingNotePrincipalBalance,310467897.57,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-3,EndingNotePrincipalBalance,271370000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-4,EndingNotePrincipalBalance,86010000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
B,EndingNotePrincipalBalance,22220000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
C,EndingNotePrincipalBalance,18510000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
D,EndingNotePrincipalBalance,13750000,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
Deal Totals,EndingNotePrincipalBalance,722327897.57,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
all,EndingNumberofReceivables,55559,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
all,EndingAggregateReceivablesPrincipalBalance,736081872.71,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
all,EndingAggregateAmountFinanced,736081872.71,2018-01-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000009/aart2017-3_exx99xjanx2018.htm,2018-02-26T20:18:32Z
A-1,InitialNotePrincipalBalance,270000000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-2,InitialNotePrincipalBalance,371370000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-3,InitialNotePrincipalBalance,271370000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-4,InitialNotePrincipalBalance,86010000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
B,InitialNotePrincipalBalance,22220000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
C,InitialNotePrincipalBalance,18510000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
D,InitialNotePrincipalBalance,13750000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
Deal Totals,InitialNotePrincipalBalance,1053230000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-1,BeginningNotePrincipalBalance,2223107.98,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-2,BeginningNotePrincipalBalance,371370000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-3,BeginningNotePrincipalBalance,271370000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-4,BeginningNotePrincipalBalance,86010000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
B,BeginningNotePrincipalBalance,22220000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
C,BeginningNotePrincipalBalance,18510000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
D,BeginningNotePrincipalBalance,13750000,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
Deal Totals,BeginningNotePrincipalBalance,785453107.98,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-1,NoteRate,1.1,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-2,NoteRate,1.53,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-3,NoteRate,1.74,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-4,NoteRate,2.01,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
B,NoteRate,2.24,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
C,NoteRate,2.37,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
D,NoteRate,2.91,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
Deal Totals,NoteRate,,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-1,PrincipalDistribution,2223107.98,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
A-2,PrincipalDistribution,28530380.65,2017-12-01,Ally Auto Receivables Trust 2017-3,https://www.sec.gov/Archives/edgar/data/1477336/000170500218000006/aart2017-3_exx99xdecx2017.htm,2018-01-29T21:27:34Z
