class,value,variable,period,company,link
A-2,0,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-3,304424.67,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-4,222838.33,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
B,52493.33,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
C,62006.67,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
D,86321.67,InterestDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-1,0,PrincipalDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-2,0,PrincipalDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-3,19584944.83,PrincipalDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-4,0,PrincipalDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
B,0,PrincipalDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
C,0,PrincipalDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
D,0,PrincipalDistribution,2019-10-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000057/a2017-1ex991111519.htm
A-1,0,BeginningNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-2,0,BeginningNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-3,203338856.89,BeginningNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-4,117800000,BeginningNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
B,24800000,BeginningNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
C,26200000,BeginningNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
D,30200000,BeginningNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-1,0,EndingNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-2,0,EndingNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-3,184499797.71,EndingNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-4,117800000,EndingNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
B,24800000,EndingNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
C,26200000,EndingNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
D,30200000,EndingNotePrincipalBalance,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-1,0,InterestDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-2,0,InterestDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-3,335509.11,InterestDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-4,222838.33,InterestDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
B,52493.33,InterestDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
C,62006.67,InterestDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
D,86321.67,InterestDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-1,0,PrincipalDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-2,0,PrincipalDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-3,18839059.18,PrincipalDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-4,0,PrincipalDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
B,0,PrincipalDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
C,0,PrincipalDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
D,0,PrincipalDistribution,2019-09-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000052/a2017-1ex991101519.htm
A-1,0,BeginningNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-2,0,BeginningNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-3,223257740.73,BeginningNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-4,117800000,BeginningNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
B,24800000,BeginningNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
C,26200000,BeginningNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
D,30200000,BeginningNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-1,0,EndingNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-2,0,EndingNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-3,203338856.89,EndingNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-4,117800000,EndingNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
B,24800000,EndingNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
C,26200000,EndingNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
D,30200000,EndingNotePrincipalBalance,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-1,0,InterestDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-2,0,InterestDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-3,368375.27,InterestDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-4,222838.33,InterestDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
